,COM,NAME,POP_15,geonameid,Department/feature_code
217,01272,Neuville-les-Dames,1500,6424607.0,ADM4
218,01273,Neuville-sur-Ain,1693,6424608.0,ADM4
219,01274,Les Neyrolles,635,6455423.0,ADM4
220,01275,Neyron,2487,6615627.0,ADM4
221,01276,Niévroz,1535,6618060.0,ADM4
222,01277,Nivollet-Montgriffon,118,6424609.0,ADM4
223,01279,Oncieu,99,6424610.0,ADM4
224,01280,Ordonnaz,152,6424611.0,ADM4
225,01281,Ornex,4390,6424612.0,ADM4
226,01282,Outriaz,265,6424613.0,ADM4
227,01283,Oyonnax,22392,6424614.0,ADM4
228,01284,Ozan,668,6424615.0,ADM4
229,01285,Parcieux,1171,6424616.0,ADM4
230,01286,Parves et Nattages,938,6424617.0,ADM4
231,01288,Péron,2537,6424618.0,ADM4
232,01289,Péronnas,6241,6424619.0,ADM4
233,01290,Pérouges,1205,6424620.0,ADM4
234,01291,Perrex,810,6424621.0,ADM4
235,01293,Peyriat,171,6424622.0,ADM4
236,01294,Peyrieu,850,6615628.0,ADM4
237,01295,Peyzieux-sur-Saône,651,6424623.0,ADM4
238,01296,Pirajoux,393,6612207.0,ADM4
239,01297,Pizay,794,6618059.0,ADM4
240,01299,Le Plantay,541,6455425.0,ADM4
241,01301,Polliat,2496,6424626.0,ADM4
242,01302,Pollieu,159,6424627.0,ADM4
243,01303,Poncin,1688,6424628.0,ADM4
244,01304,Pont-d'Ain,2867,6424629.0,ADM4
245,01305,Pont-de-Vaux,2296,6424630.0,ADM4
246,01306,Pont-de-Veyle,1592,6424631.0,ADM4
247,01307,Port,851,6453505.0,ADM4
248,01309,Pouillat,91,6612208.0,ADM4
249,01310,Prémeyzel,238,6424634.0,ADM4
250,01311,Prémillieu,47,6424635.0,ADM4
251,01313,Prévessin-Moëns,7860,6618057.0,ADM4
252,01314,Priay,1685,6424637.0,ADM4
253,01317,Ramasse,312,6424639.0,ADM4
254,01318,Rancé,712,6424640.0,ADM4
255,01319,Relevant,464,6424641.0,ADM4
256,01320,Replonges,3673,6424642.0,ADM4
257,01321,Revonnas,938,6424643.0,ADM4
258,01322,Reyrieux,4544,6424644.0,ADM4
259,01323,Reyssouze,970,6453506.0,ADM4
260,01325,Rignieux-le-Franc,972,6424645.0,ADM4
261,01329,Rossillon,150,6424646.0,ADM4
262,01330,Ruffieu,182,6424647.0,ADM4
263,01332,Saint-André-de-Bâgé,748,6424648.0,ADM4
264,01333,Saint-André-de-Corcy,3129,6424649.0,ADM4
265,01334,Saint-André-d'Huiriat,579,6424650.0,ADM4
266,01335,Saint-André-le-Bouchoux,382,6424651.0,ADM4
267,01336,Saint-André-sur-Vieux-Jonc,1128,6424652.0,ADM4
268,01337,Saint-Bénigne,1242,6424653.0,ADM4
269,01338,Groslée-Saint-Benoit,1193,6453508.0,ADM4
270,01341,Saint-Champ,162,6618055.0,ADM4
271,01343,Saint-Cyr-sur-Menthon,1746,6424655.0,ADM4
272,01344,Saint-Denis-lès-Bourg,5530,6424656.0,ADM4
273,01345,Saint-Denis-en-Bugey,2293,6424657.0,ADM4
274,01346,Saint-Didier-d'Aussiat,886,6424658.0,ADM4
275,01347,Saint-Didier-de-Formans,1889,6424659.0,ADM4
276,01348,Saint-Didier-sur-Chalaronne,2787,6424660.0,ADM4
277,01351,Saint-Étienne-sur-Chalaronne,1538,6424662.0,ADM4
278,01352,Saint-Étienne-sur-Reyssouze,566,6424663.0,ADM4
279,01353,Sainte-Euphémie,1647,6453509.0,ADM4
280,01354,Saint-Genis-Pouilly,10824,6424664.0,ADM4
281,01355,Saint-Genis-sur-Menthon,473,6424665.0,ADM4
282,01356,Saint-Georges-sur-Renon,224,6424666.0,ADM4
283,01357,Saint-Germain-de-Joux,507,6424667.0,ADM4
284,01358,Saint-Germain-les-Paroisses,426,6424668.0,ADM4
285,01359,Saint-Germain-sur-Renon,233,6424669.0,ADM4
286,01360,Saint-Jean-de-Gonville,1653,6424670.0,ADM4
287,01361,Saint-Jean-de-Niost,1418,6618054.0,ADM4
288,01362,Saint-Jean-de-Thurigneux,778,6424671.0,ADM4
289,01364,Saint-Jean-sur-Reyssouze,731,6424672.0,ADM4
290,01365,Saint-Jean-sur-Veyle,1106,6424673.0,ADM4
291,01366,Sainte-Julie,980,6424674.0,ADM4
292,01367,Saint-Julien-sur-Reyssouze,714,6424675.0,ADM4
293,01368,Saint-Julien-sur-Veyle,779,6424676.0,ADM4
294,01370,Saint-Laurent-sur-Saône,1787,6424677.0,ADM4
295,01372,Saint-Martin-de-Bavel,434,6424678.0,ADM4
296,01373,Saint-Martin-du-Frêne,1076,6424679.0,ADM4
297,01375,Saint-Martin-le-Châtel,802,6424681.0,ADM4
298,01376,Saint-Maurice-de-Beynost,3963,6424682.0,ADM4
299,01378,Saint-Maurice-de-Gourdans,2509,6424683.0,ADM4
300,01379,Saint-Maurice-de-Rémens,754,6424684.0,ADM4
301,01380,Saint-Nizier-le-Bouchoux,682,6424685.0,ADM4
302,01381,Saint-Nizier-le-Désert,912,6424686.0,ADM4
303,01382,Sainte-Olive,287,6424687.0,ADM4
304,01383,Saint-Paul-de-Varax,1476,6424688.0,ADM4
305,01384,Saint-Rambert-en-Bugey,2311,6424689.0,ADM4
306,01386,Saint-Sorlin-en-Bugey,1131,6424690.0,ADM4
307,01388,Saint-Trivier-de-Courtes,1097,6424691.0,ADM4
308,01389,Saint-Trivier-sur-Moignans,1844,6424692.0,ADM4
309,01390,Saint-Vulbas,1194,6612209.0,ADM4
310,01391,Salavre,285,6424694.0,ADM4
311,01392,Samognat,660,6424695.0,ADM4
312,01393,Sandrans,520,6424696.0,ADM4
313,01396,Sault-Brénaz,985,6424697.0,ADM4
314,01397,Sauverny,1037,6424698.0,ADM4
315,01399,Ségny,1969,6424699.0,ADM4
316,01400,Seillonnaz,138,6424700.0,ADM4
317,01402,Sermoyer,694,6424702.0,ADM4
318,01403,Serrières-de-Briord,1278,6615635.0,ADM4
319,01404,Serrières-sur-Ain,128,6424703.0,ADM4
320,01406,Servignat,176,6424704.0,ADM4
